City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Hithadhoo,MV,80.78,-0.6,73.0833,Scoop Guest House
5,Miri,MY,78.94,4.4148,114.0089,"Mega Hotel, Miri"
6,Arraial Do Cabo,BR,66.33,-22.9661,-42.0278,Pousada Porto Praia
8,Buraydah,SA,86.45,26.326,43.975,Mövenpick Qassim
10,Atuona,PF,76.91,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
11,Mazatlan,MX,88.02,23.2167,-106.4167,Hotel La Siesta
12,Almeirim,BR,81.48,-1.5233,-52.5817,Ricácio Hotel
14,Port Alfred,ZA,60.19,-33.5906,26.891,The Halyards Hotel
16,Nancha,CN,64.94,47.1333,129.2667,Communications Hotel
17,Garden City,US,68.25,42.3256,-83.331,Big Trees Mobile Home Community
20,Lagoa,PT,73.0,39.05,-27.9833,Casa Das Faias
21,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
24,Cabatuan,PH,76.5,10.8794,122.486,MVC Transient Room
25,Puerto Escondido,MX,76.21,15.85,-97.0667,Aldea del Bazar Hotel and Spa
26,Riyadh,SA,84.34,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
28,Bethel,US,63.48,41.3712,-73.414,Courtyard by Marriott Danbury
31,Kanigiri,IN,79.72,15.4,79.5167,COMFORT INN
32,Puerto Ayora,EC,65.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,La Ronge,CA,66.45,55.1001,-105.2842,Northland Motor Hotel
36,Ucluelet,CA,60.1,48.9329,-125.5528,Black Rock Oceanfront Resort
